house_score,value_tier,price_value,predicted_price,pricing_gap_pct,investment_opportunity_score,undervalued_flag,beds,baths,lot_size_sqft,latitude,longitude,luxury_score,amenities_score
15.29,Mid-Range,174900,296114.5474501372,0.6930505857640779,10.277005696292829,1,3,2.0,6534.0,44.0813646,-123.1551785,0,4
33.96,Premium,890000,1501507.8321169373,0.6870874518167834,10.188574919730748,1,5,4.5,853863120.0,38.3275754,-85.6195722,1,2
18.89,Mid-Range,454900,764657.0278748136,0.6809343325452047,10.097326740455536,1,6,4.0,6534.0,44.0978313,-123.133061,0,2
26.62,Premium,785000,1315625.7458177358,0.6759563640990265,10.023505555272063,1,5,4.5,514966320.0,36.8748185,-76.0522021,0,2
10.15,Budget,92000,153056.6646618709,0.6636593984985967,9.841146710574868,1,5,1.0,4678.0,41.440299,-81.5881995,0,2
10.29,Budget,179000,297633.2102629082,0.6627553645972525,9.827740266808737,1,2,2.0,6534.0,39.000622,-76.9929566,0,1
6.78,Budget,65000,108031.46607680086,0.6620225550277056,9.81687300810217,1,2,1.0,756.0,39.2866571,-76.6477944,0,0
19.25,Mid-Range,449000,744385.1293800072,0.6578733393764079,9.755341879435461,1,2,2.0,823501800.0,21.2780512,-157.8223747,0,2
18.9,Mid-Range,139900,231821.9581821256,0.6570547404011838,9.7432023998075,1,3,2.0,5009.0,44.9297676,-93.0984075,0,1
11.43,Budget,144000,238222.42651916505,0.6543224063830906,9.702683031773411,1,3,1.5,3673.0,39.3458194,-76.591395,0,2
8.88,Budget,99500,164507.4790058584,0.6533414975463154,9.688136564942495,1,4,2.0,6124.0,41.4759653,-81.5936694,0,1
22.74,Premium,695000,1147124.9900071374,0.6505395539671042,9.64658491629888,1,7,5.0,8276.0,44.0385416,-123.1181785,0,1
19.23,Mid-Range,388000,639809.2979553489,0.648993035967394,9.623650702697379,1,1,1.0,6534.0,21.3119779,-157.8584598,0,3
14.16,Mid-Range,324000,534091.3134384678,0.6484299797483574,9.615300815014558,1,6,2.5,2052.0,42.8929281,-78.8863129,0,1
10.33,Budget,92000,151254.73536184305,0.6440732104548158,9.550691752844402,1,4,1.0,5637.0,38.2549621,-85.8100679,0,2
15.66,Mid-Range,229000,376228.4671431925,0.6429190704942903,9.533576341070548,1,2,1.5,6534.0,38.9937187,-77.0173583,0,4
22.16,Premium,199000,326658.1134355312,0.641498057464981,9.512503313565661,1,1,1.0,9.0,27.9393986,-82.4704576,1,5
10.79,Budget,179990,295176.49893721734,0.6399605474593997,9.489702684740744,1,3,2.5,1742.0,39.3057674,-76.6665722,0,1
11.49,Budget,199000,325802.8489357452,0.6372002459082673,9.448768569916286,1,5,3.0,3167.0,38.0562889,-84.4801269,0,1
12.24,Budget,197000,322505.9135314215,0.6370858554894493,9.447072207960185,1,3,2.0,6534.0,40.4323492,-80.0525866,0,2
18.79,Mid-Range,435000,711430.033064814,0.6354713403788829,9.423129625710564,1,3,1.0,5401.0,21.2810358,-157.8253321,0,2
34.75,Premium,795000,1298558.3480186248,0.6334067270674526,9.39251227583315,1,2,2.0,6534.0,21.300197,-157.8613691,1,4
7.08,Budget,75000,122403.68085701267,0.6320490780935023,9.372378910705638,1,2,1.0,3920.0,38.2486891,-85.8043648,0,0
27.42,Premium,949000,1539522.526496261,0.6222576675408439,9.227176396983369,1,5,4.5,665074080.0,39.0832414,-77.0297815,0,1
23.63,Premium,459000,743930.9307673534,0.6207645550487002,9.205034164670321,1,3,3.0,8510.0,27.9848356,-82.5744949,1,2
19.92,Premium,298000,482573.7810173256,0.6193751040849852,9.18442918936669,1,1,1.0,6534.0,21.2829043,-157.8280153,0,5
9.59,Budget,69900,112209.9298312805,0.6052922722643849,8.975586697298583,1,3,1.0,5575.0,41.4515526,-81.6050868,0,2
10.2,Budget,210000,336264.8892556828,0.6012613774080134,8.915810216417961,1,3,2.0,4038.0,38.0573905,-84.4856508,0,0
28.04,Premium,495500,790986.5613163002,0.5963401842912214,8.842830985567824,1,2,4.0,7492.0,44.9530389,-93.2999754,0,2
20.15,Premium,470000,750254.1879824911,0.5962855063457257,8.842020134558314,1,4,2.5,513659520.0,28.1500054,-82.3662949,0,3
10.24,Budget,99900,159275.7163684968,0.5943515152001682,8.813339856641122,1,2,1.0,7174.0,41.425843,-81.7266557,0,2
6.28,Budget,50000,79714.4456357576,0.5942889127151519,8.812411488032664,1,2,1.0,1873.0,41.4501797,-81.6260808,0,0
12.09,Budget,295000,469549.98478570464,0.5916948636803547,8.773942828328767,1,3,2.5,6534.0,36.905059,-76.13097,0,0
29.18,Premium,529000,841174.1967472915,0.5901213549098138,8.750608352910968,1,1,1.5,6534.0,25.7656606,-80.1943935,2,4
